Wallet statement;;;;;;;;;;
Address count with BTC balance:;1;;;;;;;;;
Starting balance 2023-01-15;0;BTC;0;USD;;;;;;
Ending balance 2024-04-17;0;BTC;0;USD;;;;;;
Total received;2,68903734;BTC;;;;;;;;
Total sent;2,68903734;BTC;;;;;;;;
Total received from external wallets;2,68903734;BTC;;;;;;;;
Total sent to external wallets;9,83291646;BTC;;;;;;;;
;;;;;;;;;;
Types legend;;;;;;;;;;
External receiving;An event that replenishes an address from your list, where the sending address is not an address from your list.;;;;;;;;;
External spending;An event that reflects a spend from an address on your list to an external address that is not an address on your list.;;;;;;;;;
Inner fee;Commission that was spent by the address from your list.;;;;;;;;;
Inner;Event where the recipient address and the sender address are addresses from your list;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Start period;15/01/2023;;;;;;;;;
End period;17/04/2024;;;;;;;;;
Transactions involving the addresses:;;;;;;;;;;
Tx number;Effect;Ticker;Amount fiat (USD);Asset rate (USD);Type;Date;Public key;Wallet address;Third-party address;Transaction hash
79;-0,04792441;BTC;-1974,29;41196;Inner;19/01/2024 13:23;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;e8a16a3da6726094ffda2d45a741192107e2ad87b3a696c192da6fb0c122933d
80;0,01206525;BTC;497,04;41196;External receiving;19/01/2024 13:15;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;d7bc5850abe6e3796753c2ce2b11ea80f34673f8134e98b8e49d9450fc55d5c1
81;0,01104471;BTC;455;41196;External receiving;19/01/2024 12:32;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;2d968959c1ab799458ed7ee3ae6673da06191b6d76b3af6aa7ac3f946548b252
82;0,04792441;BTC;1974,29;41196;External receiving;19/01/2024 10:26;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;b6207536aecac46e4f9f27bbec542505b5a4cb88eccd76e801f5df91fbb03a89
83;0,07400728;BTC;3161,07;42713;External receiving;18/01/2024 16:42;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;bb25dead73482d19a7525e2bd0119202827979f6e80b2a8cd73c6ea77074ad49
84;0,04599842;BTC;1964,73;42713;External receiving;18/01/2024 16:42;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;948eabdd8804d472eada5f42f17c5622f083bcfe9b2de7ec8a51f2ceccab2278
85;0,050213;BTC;2144,75;42713;External receiving;18/01/2024 16:31;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;5c473ff2b357f0590b7e6e3f7deaa4eb27b3ed70554717e01ecfc514d89066fc
86;0,0250141;BTC;1068,43;42713;External receiving;18/01/2024 15:12;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;04194ae976b5a6c8f22e17b2d17f3d1e7931e3022783a036818d031fc0cf4622
87;0,01079;BTC;460,87;42713;External receiving;18/01/2024 14:27;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;85be337bd71a9887cc5cff03536cd2c7e179984600bbb1ef0d95f6088d78f933
88;0,01203002;BTC;513,84;42713;External receiving;18/01/2024 09:42;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;c51f3a39108e9ff0c44e5fa4f5afa86ce83ded3386bac6a9b7aaf61275761aae
